ATLPDXCU,KATL,KPDX,HANKO,KATL CUTTN1 HANKO MEM RZC BVO GCK FQF CHE MLD IMB JOTBA HHOOD3 KPDX,ZTL,ZSE,ZDV ZKC ZLC ZME ZSE ZTL,Y,,2
ATLPDXHA,KATL,KPDX,SARGE,KATL HAALO1 SARGE EUF IGB MEM RZC BVO GCK FQF CHE MLD IMB JOTBA HHOOD3 KPDX,ZTL,ZSE,ZDV ZKC ZLC ZME ZSE ZTL,Y,,2
ATLPDXRP,KATL,KPDX,JAACE,KATL PENCL1 JAACE BNA MWA STL OVR ONL J151 BIL BZN HIA J16 PDT JKNOX HHOOD3 KPDX,ZTL,ZSE,ZDV ZKC ZLC ZME ZMP ZSE ZTL,N,,2
ATLPHL8N,KATL,KPHL,NOTWO,KATL NOTWO J91 VXV J91 TONIO J42 GVE PAATS2 KPHL,ZTL,ZNY,ZDC ZID ZTL,Y,,1
ATLPHLAP,KATL,KPHL,EAONE,KATL EAONE SPA J14 CREWE J51 FAK PAATS2 KPHL,ZTL,ZNY,ZDC ZTL,N,,1
ATLPHLPA,KATL,KPHL,RAFTN,KATL PADGT1 SMTTH Q67 TONIO J42 GVE PAATS2 KPHL,ZTL,ZNY,ZDC ZID ZTL,Y,,2
ATLPHLRP,KATL,KPHL,SPA,KATL PLMMR1 SPA Q22 BEARI FAK PAATS2 KPHL,ZTL,ZNY,ZDC ZTL,N,,2
ATLPHLVR,KATL,KPHL,MCN,KATL VRSTY1 MCN DBN TWINS CAE J52 RDU FAK PAATS2 KPHL,ZTL,ZNY,ZDC ZJX ZTL,Y,,2
ATLPHXHA,KATL,KPHX,SARGE,KATL HAALO1 SARGE GCV AEX LFK J50 ABI J4 EWM DRRVR PINNG1 KPHX,ZTL,ZAB,ZAB ZFW ZHU ZTL,Y,,2
ATLPHXPE,KATL,KPHX,JAACE,KATL PENCL1 JAACE BNA ARG RZC PER LBL J134 CIM ZUN EAGUL6 KPHX,ZTL,ZAB,ZAB ZKC ZME ZTL,Y,,2
